program,searcher,Instructions,CoveredInstr,UncoveredInstr,FullBranch,PartialBranch,TermExit,TermEarly,TermProgramError,NumStates,MallocUsage_B,Queries,WallTime_ms,SolverTime_ms
exp26_heavy_hash,nurs:md2u,16770,122,0,8,0,514,0,0,514,1259312,9290,3576789.0,2992645
exp26_heavy_hash,default,16770,122,0,8,0,514,0,0,514,1259480,9290,3573357.0,2987494
exp27_funcptr,dfs,1086,120,0,3,0,13,0,0,13,1157464,701,223407.0,220021
exp27_funcptr,bfs,1086,120,0,3,0,13,0,0,13,1157320,701,223604.0,220038
exp27_funcptr,random-path,1086,120,0,3,0,13,0,0,13,1157672,701,225425.0,221957
exp27_funcptr,nurs:qc,1086,120,0,3,0,13,0,0,13,1159504,701,236271.0,231726
exp27_funcptr,nurs:covnew,1086,120,0,3,0,13,0,0,13,1159920,701,226165.0,222360
exp27_funcptr,nurs:md2u,1086,120,0,3,0,13,0,0,13,1160640,701,231821.0,228254
exp27_funcptr,default,1086,120,0,3,0,13,0,0,13,1160216,701,226511.0,222899
exp28_reconvergence,dfs,2320049,135,3,6,2,45316,19,0,45335,1210856,1048200,10004530.0,4524298
exp28_reconvergence,bfs,3046491,120,18,5,2,0,153706,0,153706,3301472,1364940,43358363.0,11286619
exp28_reconvergence,random-path,2298519,120,18,5,2,0,93721,0,93721,2285080,1003156,30534711.0,7490862
exp28_reconvergence,nurs:qc,2070090,135,3,6,2,154,81887,0,82041,2313064,884267,28807679.0,7246785
exp28_reconvergence,nurs:covnew,2060726,135,3,6,2,154,81527,0,81681,2313064,880305,28778247.0,7242541
exp28_reconvergence,nurs:md2u,2056507,135,3,6,2,151,81364,0,81515,2313064,878474,28594073.0,7233134
exp28_reconvergence,default,2160691,120,18,5,2,0,85882,0,85882,2280248,938060,28361713.0,6810722
exp29_switch_maze,dfs,16268,179,0,9,0,1054,0,0,1054,1461968,8325,810843.0,735483
exp29_switch_maze,bfs,16268,179,0,9,0,1054,0,0,1054,1461968,8325,715035.0,643689
exp29_switch_maze,random-path,16268,179,0,9,0,1054,0,0,1054,1464288,8325,733812.0,648312
exp29_switch_maze,nurs:qc,16268,179,0,9,0,1054,0,0,1054,1473952,8325,750773.0,649803
exp29_switch_maze,nurs:covnew,16268,179,0,9,0,1054,0,0,1054,1473952,8325,733285.0,632836
exp29_switch_maze,nurs:md2u,16268,179,0,9,0,1054,0,0,1054,1473952,8325,778361.0,637428
exp29_switch_maze,default,16268,179,0,9,0,1054,0,0,1054,1488024,8325,725776.0,623755
exp30_symbolic_index,dfs,3630,55,2,2,1,2,0,0,2,1369184,1820,362001.0,358659
exp30_symbolic_index,bfs,3630,55,2,2,1,2,0,0,2,1369184,1820,359403.0,356025
exp30_symbolic_index,random-path,3630,55,2,2,1,2,0,0,2,1369184,1820,359023.0,355574
exp30_symbolic_index,nurs:qc,3630,55,2,2,1,2,0,0,2,1370168,1820,361248.0,357673
exp30_symbolic_index,nurs:covnew,3630,55,2,2,1,2,0,0,2,1370168,1820,363501.0,359896
exp30_symbolic_index,nurs:md2u,3630,55,2,2,1,2,0,0,2,1370168,1820,358892.0,355278
exp30_symbolic_index,default,3630,55,2,2,1,2,0,0,2,1370160,1820,360145.0,356487
exp31_nested_loops,dfs,2567911,96,1,5,1,42753,22,0,42775,1149576,1348009,10005198.0,4501962
exp31_nested_loops,bfs,3545253,96,1,5,1,34312,46891,0,81203,1683168,1805050,20248367.0,6222121
exp31_nested_loops,random-path,2695462,96,1,5,1,31260,17340,0,48600,1430992,1381007,13733981.0,4170245
exp31_nested_loops,nurs:qc,2650726,96,1,5,1,15633,38158,0,53791,1694544,1331526,18306945.0,4512457
exp31_nested_loops,nurs:covnew,2689087,96,1,5,1,15941,38604,0,54545,1694544,1351009,18420642.0,4543615
exp31_nested_loops,nurs:md2u,2695952,96,1,5,1,15992,38690,0,54682,1694544,1354456,18455678.0,4556052
exp31_nested_loops,default,2450233,96,1,5,1,24830,20569,0,45399,1430888,1249217,14387128.0,3832918
exp32_coverage_cliff,dfs,1373826,138,10,12,1,48671,13,0,48684,1218664,736374,10003848.0,4949047
exp32_coverage_cliff,bfs,1612091,139,9,11,1,22,153771,0,153793,3316240,811368,45750445.0,12546019
exp32_coverage_cliff,random-path,1514731,139,9,11,1,22,111475,0,111497,2313064,759895,36252895.0,9977911
exp32_coverage_cliff,nurs:qc,1504444,139,9,11,1,22,98616,0,98638,2305832,752121,33572230.0,9114957
exp32_coverage_cliff,nurs:covnew,1508250,139,9,11,1,22,98869,0,98891,2305832,754082,33693976.0,9118398
exp32_coverage_cliff,nurs:md2u,1501723,139,9,11,1,22,98452,0,98474,2305832,750783,33557008.0,9105562
exp32_coverage_cliff,default,1447465,139,9,11,1,22,101073,0,101095,2306568,720683,33964990.0,9027010
exp33_dfs_trap,dfs,1360026,125,0,8,0,55583,11,0,55594,1179752,737449,10003298.0,4898537
exp33_dfs_trap,bfs,2076070,122,3,7,1,3,158668,0,158671,3276096,1072990,46527190.0,12648357
exp33_dfs_trap,random-path,2006513,122,3,7,1,3,116693,0,116696,2245600,1030551,36976660.0,9805783
exp33_dfs_trap,nurs:qc,1751522,125,0,8,0,854,105416,0,106270,2247304,886057,34529759.0,9073846
exp33_dfs_trap,nurs:covnew,1748508,125,0,8,0,848,105242,0,106090,2247304,884548,34408781.0,9072342
exp33_dfs_trap,nurs:md2u,1755411,125,0,8,0,860,105657,0,106517,2247304,888043,34607439.0,9097880
exp33_dfs_trap,default,1810746,122,3,7,1,3,99079,0,99082,2248856,925558,32633662.0,8334689
exp34_time_to_coverage,dfs,1437698,114,105,9,0,42001,22,0,42023,1280968,719532,10005706.0,4995710
exp34_time_to_coverage,bfs,1665699,209,10,16,1,1028,139383,0,140411,3388144,849783,43986545.0,12850983
