program,searcher,CovI,States,Queries,SolverTime_us,WallTime_s,CompletedPaths,NumBranches
train_00703,nurs_qc,976,1,6951,2,37812.0,0,122
train_00703,random-path,976,1,6951,2,36394.0,0,122
train_00707,bfs,1035,496,103332,9527684,10128709.0,0,118
train_00707,default,1035,503,105043,9328817,10149639.0,0,118
train_00707,dfs,1035,516,108451,9485827,10114786.0,0,118
train_00707,nurs_covnew,1035,494,102892,9439073,10119908.0,0,118
train_00707,nurs_md2u,1035,506,105767,9405520,10092076.0,0,118
train_00707,nurs_qc,1035,497,103652,9479440,10131284.0,0,118
train_00707,random-path,1035,489,101697,9241107,10143961.0,0,118
train_00711,bfs,980,683,38882,9250069,10154845.0,0,116
train_00711,default,980,667,38087,9216075,10191837.0,0,116
train_00711,dfs,980,675,38544,9248395,10125466.0,0,116
train_00711,nurs_covnew,980,664,37931,9257960,10159603.0,0,116
train_00711,nurs_md2u,980,658,37620,9207478,10160186.0,0,116
train_00711,nurs_qc,980,660,37839,9218456,10123223.0,0,116
train_00711,random-path,980,664,37974,9122403,10117224.0,0,116
train_00715,bfs,1012,63,25360,9733292,10067551.0,0,124
train_00715,default,1012,76,18868,9755624,10121645.0,0,124
train_00715,dfs,1012,62,25050,9738573,10064500.0,0,124
train_00715,nurs_covnew,1012,72,15202,9770608,10131132.0,0,124
train_00715,nurs_md2u,1012,74,15865,9789770,10145218.0,0,124
train_00715,nurs_qc,1012,77,14288,9782487,10141554.0,0,124
train_00715,random-path,1012,61,22248,9732192,10079777.0,0,124
train_00719,bfs,992,1,9848646,3,10029737.0,0,137
train_00719,default,992,1,9379430,3,10031449.0,0,137
train_00719,dfs,992,1,9798907,12,10029545.0,0,137
train_00719,nurs_covnew,992,1,9354503,3,10030986.0,0,137
train_00719,nurs_md2u,992,1,9526648,4,10030356.0,0,137
train_00719,nurs_qc,992,1,9033773,3,10029491.0,0,137
train_00719,random-path,992,1,9857089,4,10027083.0,0,137
train_00727,bfs,1049,10,165565,10455341,10672301.0,0,126
train_00727,default,1010,33,95511,11206467,11411083.0,0,126
train_00727,dfs,1042,5,165592,10563234,10772292.0,0,126
train_00727,nurs_covnew,1010,35,95410,10312064,10483233.0,0,126
train_00727,nurs_md2u,1010,35,95410,10183649,10378485.0,0,126
train_00727,nurs_qc,1010,35,95470,10935952,11113990.0,0,126
train_00727,random-path,1010,29,95695,10135575,10321437.0,0,126
train_00815,bfs,963,1,6943,2,36481.0,0,116
train_00815,default,963,1,6943,2,38104.0,0,116
train_00815,dfs,963,1,6943,2,36080.0,0,116
train_00815,nurs_covnew,963,1,6943,1,38401.0,0,116
