program,dfs,bfs,random-path,nurs_covnew,nurs_md2u,nurs_qc,default,best_searcher,coverage_gap
train_07068,1047,1065,1056,1056,1056,1056,1056,bfs,18
train_07265,1277,1277,1230,1147,1147,1095,1165,bfs/dfs,182
train_07272,950,990,964,955,955,956,963,bfs,40
train_07277,1051,1045,1045,1045,1045,1045,1045,dfs,6
train_07371,986,986,975,955,956,936,960,bfs/dfs,50
train_07471,1005,1007,1007,1007,1007,1007,1007,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,2
train_07577,1018,1038,1066,962,962,973,1032,random-path,104
train_07688,1015,1019,1019,1019,1019,1019,1019,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,4
train_07692,1006,1069,1084,1084,1084,1084,1084,default/nurs_covnew/nurs_md2u/nurs_qc/random-path,78
train_07736,949,1006,951,950,950,950,954,bfs,57
train_07788,1040,980,1014,992,992,992,1006,dfs,60
train_07798,946,989,989,989,989,989,989,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,43
train_07799,990,1075,1075,1075,1075,1075,1075,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,85
train_07806,967,942,942,942,942,942,942,dfs,25
train_07942,988,995,995,995,995,995,995,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,7
train_07991,1048,1048,1053,1053,1053,1053,1053,default/nurs_covnew/nurs_md2u/nurs_qc/random-path,5
train_07993,1092,1096,1096,1096,1096,1096,1096,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,4
train_08004,1035,962,1035,1035,1035,1035,1035,default/dfs/nurs_covnew/nurs_md2u/nurs_qc/random-path,73
train_08099,1098,1232,1228,1094,1094,1094,1174,bfs,138
train_08108,983,993,1024,1024,1024,1024,1024,default/nurs_covnew/nurs_md2u/nurs_qc/random-path,41
train_08209,984,1054,1058,1058,1058,1058,1058,default/nurs_covnew/nurs_md2u/nurs_qc/random-path,74
train_08305,991,939,942,944,944,942,951,dfs,52
train_08310,1002,953,988,976,976,1002,969,dfs/nurs_qc,49
train_08409,1023,1027,1027,1027,1027,1027,1027,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,4
train_08420,967,1054,1054,1006,1006,1006,1054,bfs/default/random-path,87
train_08516,987,1026,1015,1004,1004,994,995,bfs,39
train_08526,989,946,989,989,989,989,989,default/dfs/nurs_covnew/nurs_md2u/nurs_qc/random-path,43
train_08617,955,1042,1042,1042,1042,1042,1042,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,87
train_08622,1067,1067,1067,1067,1067,1067,1005,bfs/dfs/nurs_covnew/nurs_md2u/nurs_qc/random-path,62
train_08628,984,993,1136,1136,1136,1136,1136,default/nurs_covnew/nurs_md2u/nurs_qc/random-path,152
train_08641,1060,1060,1060,981,984,982,1060,bfs/default/dfs/random-path,79
train_08723,1010,1014,1015,1014,1014,1014,1018,default,8
train_08724,1002,1015,1015,1000,1000,1000,1015,bfs/default/random-path,15
train_08726,1009,1031,1031,1031,1031,1031,1031,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,22
train_08827,999,1203,1203,1043,1043,1043,1043,bfs/random-path,204
